"url","date","time","likes","tweets"
"http://www.eldiario.es/agendapublica/blog/Cronicas-bostonianas-II-Calidad-democratica_6_59204080.html",2012-10-17,"09:22","18","18"
"http://www.eldiario.es/agendapublica/blog/Instituciones-Politicos_6_58504167.html",2012-10-16,"08:07","31","49"
"http://www.eldiario.es/agendapublica/blog/Editorial-invitada-Molestan-derechos_6_58504153.html",2012-10-15,"09:05","156","100"
"http://www.eldiario.es/agendapublica/blog/Legislar-golpe-telediario_6_57104299.html",2012-10-12,"11:41","100","158"
"http://www.eldiario.es/agendapublica/blog/Nacionaliza-escuela_6_57104314.html",2012-10-12,"07:41","169","230"
"http://www.eldiario.es/agendapublica/blog/Cronicas-bostonianas-Hablamos-Ensenanzas-Atlantico_6_56754330.html",2012-10-11,"09:36","8","27"
"http://www.eldiario.es/agendapublica/blog/Educacion-mal-diagnostico-malas-politicas_6_56404369.html",2012-10-10,"09:08","0","667"
"http://www.eldiario.es/agendapublica/blog/financiacion-autonomica-rompe-Espana-valenciano_6_56404363.html",2012-10-09,"09:03","212","138"
"http://www.eldiario.es/agendapublica/blog/Editorial-Puede-continuar-Rajoy-presidente_6_56054396.html",2012-10-08,"09:24","77","176"
"http://www.eldiario.es/agendapublica/blog/Lecturas-Agenda-Publica-Nation-Politics_6_55004503.html",2012-10-05,"09:12","12","28"
"http://www.eldiario.es/agendapublica/blog/dualidad-deberia-preocuparnos_6_52554749.html",2012-10-04,"09:26","4","129"
"http://www.eldiario.es/agendapublica/blog/puede-apoyar-referendum-secesion-independentista_6_52554748.html",2012-10-03,"09:08","753","335"
"http://www.eldiario.es/agendapublica/blog/Podemos-permitirnos-social_6_52554746.html",2012-10-02,"09:49","16","475"
"http://www.eldiario.es/agendapublica/blog/excusa-oportunidad_6_53604641.html",2012-10-01,"10:23","40","67"
